Organisation,Year,Account_Number,Country,Industry,Ticker,ISIN,Scope_1,Scope_2,Bio_CO2,Publication_data,Total
Hannover Rück SE,2013,8082,Germany,Financials,HNR1 GR,DE0008402215,0,328,NA,2015,328
Hanwha Chemical,2013,8093,South Korea,Materials,009830 KS,KR7009830001,314582,1808208,NA,2014,2122790
Harman International Industries Inc,2013,8103,USA,Consumer Discretionary,HAR US,US4130861093,3031,46403,NA,2015,49434
Harmony Gold Mining Co Ltd,2013,8104,South Africa,Materials,HAR SJ,ZAE000015228,74758,2745005,NA,2015,2819763
Havas,2013,8112,France,Consumer Discretionary,HAV FP,FR0000121881,1573,14155,NA,2014,15728
"The Hartford Financial Services Group, Inc.",2013,8116,USA,Financials,HIG US,US4165151048,23099,51265,NA,2014,74364
"Hasbro, Inc.",2013,8126,USA,Consumer Discretionary,HAS US,US4180561072,7347,16904,NA,2014,24251
Hays,2013,8156,United Kingdom,Industrials,HAS LN,GB0004161021,5150,5744,NA,2014,10894
HCL Technologies,2013,8162,India,Information Technology,HCLT IN,INE860A01027,30465,138148,NA,2015,168613
HDFC Bank Ltd,2013,8167,India,Financials,HDFCB IN,INE040A01026,6745,399697,NA,2014,406442
Antofagasta,2013,820,United Kingdom,Materials,ANTO LN,GB0000456144,706463,1626490,NA,2014,2332953
HeidelbergCement AG,2013,8207,Germany,Materials,HEI GR,DE0006047004,53336281,7759242,1628946,2014,62724469
Heineken NV,2013,8212,Netherlands,Consumer Staples,HEIA NA,NL0000009165,1216130,666259,23307,2014,1905696
Henan Shuanghui Investment & Development  (A),2013,8233,China,Consumer Staples,000895 CH,CNE000000XM3,NA,NA,NA,2014,0
Henderson Group,2013,8237,Ireland,Financials,HGG LN,JE00B3CM9527,26,2197,NA,2014,2223
Henkel AG & Co. KGaA,2013,8241,Germany,Consumer Staples,HEN3 GR,DE0006048432,307500,325700,12500,2014,645700
Aon plc,2013,825,USA,Financials,AON US,GB00B5BT0K07,2691,11242,NA,2014,13933
Hera,2013,8254,Italy,Utilities,HER IM,IT0001250932,2133896,277443,1019321,2014,3430660
Helvetia Group,2013,8261,Switzerland,Financials,HELN SW,CH0012271687,3873,4995,52,2014,8920
The Hertz Corporation,2013,8272,USA,Industrials,766481Z US,US4280402086,105910,129337,NA,2014,235247
